x	y	vx	vy	sensor_type	NIS
0.0604	0.0842	0.2769	0.1450	L	1.7771
0.0604	0.0841	0.2767	0.1449	R	0.6644
0.0604	0.0841	0.2764	0.1449	L	2.0001
0.0605	0.0842	0.2761	0.1449	R	2.7224
0.0604	0.0842	0.2758	0.1449	L	0.7733
0.0605	0.0841	0.2755	0.1450	R	9.8197
0.0605	0.0840	0.2752	0.1456	L	2.8327
0.0606	0.0840	0.2750	0.1463	R	0.1534
0.0606	0.0839	0.2747	0.1472	L	0.9613
0.0606	0.0838	0.2744	0.1473	R	6.6607
0.0606	0.0837	0.2741	0.1472	L	1.9595
0.0606	0.0837	0.2738	0.1472	R	4.0932
0.0605	0.0836	0.2736	0.1471	L	0.6145
0.0605	0.0835	0.2733	0.1471	R	2.7456
0.0605	0.0835	0.2730	0.1470	L	0.9050
0.0604	0.0834	0.2728	0.1471	R	6.5805
0.0604	0.0833	0.2726	0.1477	L	6.4077
0.0604	0.0833	0.2724	0.1480	R	1.4047
0.0603	0.0832	0.2722	0.1481	L	4.2577
0.0603	0.0831	0.2719	0.1481	R	2.0730
0.0602	0.0831	0.2717	0.1482	L	0.4782
